etab_id,nom,localite,region,prefecture,commune,canton,categorie,categorie_source,statut_source,statut_groupe,jours_ouverture,nb_jours_ouverture,ouvert_samedi,ouvert_dimanche,jours_renseignes,lon,lat,unite_commune,prefecture_geom,coherence_geo
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41b2,ORABANK Nassablé,NASSABLE,Savanes,Tône,Tône 1,Dapaong,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.2003816666666658,10.877000000000002,Tône 1,Tône,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41b1,Microfinance U-CMECS,KOMBONLOAGA,Savanes,Tône,Tône 1,Dapaong,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.1967783333333335,10.875438333333332,Tône 1,Tône,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41b0,Incha Allah Finance,KOMBONLOAGA,Savanes,Tône,Tône 1,Dapaong,Micro-finance,Micro-Finance,Location,Statut non renseigné ou ambigu,Mar–Mer–Jeu–Ven–Sam,5,True,False,True,0.1986583333333329,10.870201666666667,Tône 1,Tône,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41af,Microfinance AFP,KPEGUI,Savanes,Tône,Tône 1,Dapaong,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.2015649999999997,10.869738333333332,Tône 1,Tône,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41ae,Direction COOPEC- SIFA,KOMBONLOAGA,Savanes,Tône,Tône 1,Dapaong,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.1999166666666664,10.865344999999998,Tône 1,Tône,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41ad,UMECTO Napiengue,NAPIENGUE,Savanes,Tône,Tône 1,Dapaong,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.2034566666666671,10.86282,Tône 1,Tône,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41ac,U-CMECS Sagbiebou,SAGBIEBOU 1,Savanes,Oti-Sud,Oti-Sud 1,Sagbiebou,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.6451099999999996,10.245945,Oti-Sud 1,Oti-Sud,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41ab,FUCEC Togo -Togo (COOPEC Lumière Agence Kando ),Kando,Savanes,Oti-Sud,Oti-Sud 1,Gando,Micro-finance,Micro-Finance,Utilisé,En activité,Mar–Mer–Jeu–Ven–Sam,5,True,False,True,0.7450254614202725,10.33152337118989,Oti-Sud 1,Oti-Sud,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41aa,COOPEC SIFA Gando Centre,GANDO CENTRE,Savanes,Oti-Sud,Oti-Sud 1,Gando,Micro-finance,Micro-Finance,Utilisé,En activité,Mar–Mer–Jeu–Ven–Sam,5,True,False,True,0.7483766666666668,10.333923333333335,Oti-Sud 1,Oti-Sud,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41a9,FUCEC Togo  COOPEC Lando,NASSABLE,Savanes,Tône,Tône 1,Dapaong,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.1935616666666662,10.882031666666668,Tône 1,Tône,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41a8,COOPEC AD Dapaong,NAPIENGUE,Savanes,Tône,Tône 1,Dapaong,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.2062104997988418,10.867566895607839,Tône 1,Tône,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41a7,CECAV Dapaong,NAPIENGUE,Savanes,Tône,Tône 1,Dapaong,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.2045483333333328,10.862111666666667,Tône 1,Tône,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41a6,SPT Barkoissi,Barkoissi,Savanes,Oti,Oti 2,Barkoissi,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.3045488080692265,10.555431316135543,Oti 2,Oti,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41a5,SPT Mango,Mango,Savanes,Oti,Oti 1,Mango,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.4719815245260524,10.357189506891158,Oti 1,Oti,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41a4,Transfert d'argent Al-izza,Mango (sangbana),Savanes,Oti,Oti 1,Mango,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.4704172075691301,10.354195912335152,Oti 1,Oti,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41a3,COOPEC SIFA Takpamba,TAKPAMBA,Savanes,Oti-Sud,Oti-Sud 2,Takpamba,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,0.5788476736208518,9.970867266857974,Oti-Sud 2,Oti-Sud,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41a2,ECOBANK Dapaong,DAPAONG,Savanes,Tône,Tône 1,Dapaong,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.2021333333333333,10.869443333333333,Tône 1,Tône,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41a1,BSIC Dapaong,DAPAONG,Savanes,Tône,Tône 1,Dapaong,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.2005323882126942,10.87647751898997,Tône 1,Tône,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41a0,UTB Dapaong,KOUKOUARE,Savanes,Tône,Tône 1,Dapaong,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.2054283333333333,10.860778333333334,Tône 1,Tône,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-419f,BTCI Worgou,Worgou,Savanes,Tône,Tône 1,Dapaong,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.2024338372086217,10.850130196071142,Tône 1,Tône,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-419e,Direction générale Ecobank Togo,Adawlato,Maritime,Golfe,Golfe 1,Bè-Est,Banque,Banque,Utilise,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,1.2585633234167288,6.13597966622959,Golfe 1,Golfe,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-419d,FUCEC Kpalime,Gniveme,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Micro-finance,Micro-Finance,N/a,Statut non renseigné ou ambigu,Non renseigné,0,False,False,False,0.63340629671594,6.914479978758992,Kloto 1,Kloto,Concordant
