indicateur_source,unite_source,annee,valeur,fichier,famille,libelle,groupe,operateur_source,technologie,unite,statut_qualite
FTTH,Nombre,2014,0.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Fibre optique (FTTH),Non précisé,Non précisé,Fibre (FTTH),abonnés,ok
FTTH,Nombre,2015,0.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Fibre optique (FTTH),Non précisé,Non précisé,Fibre (FTTH),abonnés,ok
FTTH,Nombre,2016,0.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Fibre optique (FTTH),Non précisé,Non précisé,Fibre (FTTH),abonnés,ok
FTTH,Nombre,2017,92.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Fibre optique (FTTH),Non précisé,Non précisé,Fibre (FTTH),abonnés,ok
FTTH,Nombre,2018,2068.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Fibre optique (FTTH),Non précisé,Non précisé,Fibre (FTTH),abonnés,ok
FTTH,Nombre,2019,6888.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Fibre optique (FTTH),Non précisé,Non précisé,Fibre (FTTH),abonnés,ok
Abonnés CAFE,Nombre,2013,2764.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « CAFE »,Non précisé,Non précisé,CAFE,abonnés,ok
Abonnés CAFE,Nombre,2014,2490.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « CAFE »,Non précisé,Non précisé,CAFE,abonnés,ok
Abonnés CAFE,Nombre,2015,2964.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « CAFE »,Non précisé,Non précisé,CAFE,abonnés,ok
Abonnés CAFE,Nombre,2016,4150.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « CAFE »,Non précisé,Non précisé,CAFE,abonnés,ok
Abonnés CAFE,Nombre,2017,4793.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « CAFE »,Non précisé,Non précisé,CAFE,abonnés,ok
Abonnés CAFE,Nombre,2018,5619.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « CAFE »,Non précisé,Non précisé,CAFE,abonnés,ok
Abonnés CAFE,Nombre,2019,2334.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « CAFE »,Non précisé,Non précisé,CAFE,abonnés,ok
TEOLIS,Nombre,2013,0.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « TEOLIS »,Non précisé,Non précisé,TEOLIS,abonnés,ok
TEOLIS,Nombre,2014,0.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « TEOLIS »,Non précisé,Non précisé,TEOLIS,abonnés,ok
TEOLIS,Nombre,2015,0.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « TEOLIS »,Non précisé,Non précisé,TEOLIS,abonnés,ok
TEOLIS,Nombre,2016,0.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « TEOLIS »,Non précisé,Non précisé,TEOLIS,abonnés,ok
TEOLIS,Nombre,2017,0.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « TEOLIS »,Non précisé,Non précisé,TEOLIS,abonnés,ok
TEOLIS,Nombre,2018,17.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « TEOLIS »,Non précisé,Non précisé,TEOLIS,abonnés,ok
TEOLIS,Nombre,2019,154.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « TEOLIS »,Non précisé,Non précisé,TEOLIS,abonnés,ok
GVA,Nombre,2013,0.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « GVA »,Non précisé,Non précisé,GVA,abonnés,ok
GVA,Nombre,2014,0.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « GVA »,Non précisé,Non précisé,GVA,abonnés,ok
GVA,Nombre,2015,0.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « GVA »,Non précisé,Non précisé,GVA,abonnés,ok
GVA,Nombre,2016,0.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « GVA »,Non précisé,Non précisé,GVA,abonnés,ok
